1.000000000000000000e+00 3.517688367294853347e-01 1.000000000000000000e+01 1.578331405652119823e+00 2.977622467724558852e-01
1.199999999999999956e+00 3.849565511216499480e-01 1.000000000000000000e+01 1.535275028780421103e+00 3.333612714189794213e-01
1.399999999999999911e+00 4.227463463468741911e-01 1.000000000000000000e+01 1.493393216124253353e+00 3.906777683935048207e-01
2.000000000000000111e-01 1.812858489124846428e-01 1.000000000000000000e+01 1.915500555573524055e+00 2.205507946695364763e-01
4.000000000000000222e-01 3.290984419985493736e-01 1.000000000000000000e+01 1.812417547374239435e+00 2.347726699704098807e-01
5.999999999999999778e-01 3.085883568372894126e-01 1.000000000000000000e+01 1.762975375287203939e+00 2.497062528883070842e-01
8.000000000000000444e-01 2.709131060169349681e-01 1.000000000000000000e+01 1.668100537200055689e+00 2.798392523075646787e-01
1.000000000000000056e-01 1.117784062243871307e-01 1.000000000000000000e+02 2.525820026962779519e+00 5.465993105765197813e-01
1.199999999999999956e-01 1.071879214824540544e-01 1.000000000000000000e+02 2.389892566231052839e+00 7.006849365179758093e-01
1.400000000000000133e-01 1.110231437151048134e-01 1.000000000000000000e+02 2.456916462982789984e+00 8.199400061007482421e-01
2.000000000000000042e-02 1.979521570043912826e-02 1.000000000000000000e+02 2.900430493863985770e+00 1.301223080560666157e-01
4.000000000000000083e-02 3.912978767136544855e-02 1.000000000000000000e+02 2.744343303228367947e+00 1.928050775577190845e-01
5.999999999999999778e-02 5.776903976157909959e-02 1.000000000000000000e+02 2.525820026962779519e+00 2.824289776877715874e-01
8.000000000000000167e-02 7.486960436137511665e-02 1.000000000000000000e+02 2.596655972934872381e+00 3.556796481440096525e-01
1.000000000000000021e-02 9.871382456660035901e-03 1.000000000000000000e+03 2.821307675939470627e+00 1.891815907551903375e-01
1.200000000000000025e-02 1.182187458131844955e-02 1.000000000000000000e+03 2.744343303228367947e+00 2.370212385241769470e-01
1.400000000000000029e-02 1.375432830398602355e-02 1.000000000000000000e+03 2.900430493863985770e+00 2.359371816282388734e-01
2.000000000000000042e-03 1.996605760956722802e-03 1.000000000000000000e+03 2.981772290019673477e+00 1.213859285563687468e-01
